fid,crs28992re,num_inhabi,num_0_15,num_15_25,num_25_45,num_45_65,num_65+,per_dutch,per_west,per_nonwes,avg_woz,num_social,Dis_Bicycl,Dis_Bicy_1,Dis_Bowlin,Dis_Bowl_1,Dis_Cinema,Dis_Cine_1,Dis_CityOf,Dis_City_1,Dis_Doctor,Dis_Doct_1,Dis_IceCre,Dis_IceC_1,Dis_Librar,Dis_Libr_1,Dis_Market,Dis_Mark_1,Dis_MetroS,Dis_Metr_1,Dis_Park_C,Dis_Park_1,Dis_Playgr,Dis_Play_1,Dis_School,Dis_Scho_1,Dis_Superm,Dis_Supe_1,Dis_Swimmi,Dis_Swim_1,Dis_TramSt,Dis_Tram_1,INDEX_WALK,VALUEPET,num_inh_2,,CR_FOOT_I,Old People_per_old_65
119118,E1175N4847,150,30,10,80,20,10,40,10,50,296,25,10003.9832,100,10003.9832,100,0,0,0,0,10003.9832,100,0,0,0,0,9999.982231,99.96000625,10003.9832,100,0,0,10003.9832,100,10003.9832,100,10003.9832,100,0,0,10003.9832,100,0.6,90,150,100.05,0.667,7
119119,E1176N4847,365,45,25,235,45,15,30,30,40,193,60,10003.98412,100,9161.232093,91.57583604,0,0,0,0,9507.989615,95.04203028,1399.791505,13.99234034,0,0,5715.700342,57.13424047,10003.98412,100,87.07757278,0.870428939,10003.98412,100,10003.98412,100,10003.98412,100,0,0,10003.98412,100,0.57,208.05,365,238.345,0.653,4
119120,E1177N4847,155,-99997,45,110,-99997,-99997,60,20,10,265,15,10003.98503,100,1603.585464,16.02946685,0,0,0,0,1446.545274,14.4596905,9217.001938,92.13330394,0,0,164.2700383,1.642046023,10003.98503,100,1593.862459,15.93227552,10003.98503,100,10003.98503,100,10003.98503,100,0,0,10003.98503,100,0.49,75.95,155,67.425,0.435,1
119121,E1180N4847,240,25,60,110,30,10,60,20,20,313,20,10003.98777,100,10003.98777,100,0,0,0,0,0,0,10003.98777,100,0,0,0,0,10003.98777,100,10003.98777,100,10003.98777,100,10003.98777,100,10003.98777,100,0,0,10003.98777,100,0.6,144,240,160.08,0.667,4
119122,E1181N4847,165,20,5,100,30,10,60,20,10,429,10,10003.98867,100,10003.98867,100,0,0,0,0,3008.557735,30.07358198,10003.98867,100,0,0,0,0,10003.98867,100,10003.98867,100,10003.98867,100,10003.98867,100,10003.98867,100,0,0,10003.98867,100,0.62,102.3,165,126.555,0.767,6
119123,E1182N4847,170,15,20,85,30,20,60,20,20,403,20,10003.98958,100,10003.98958,100,0,0,0,0,10003.98958,100,10003.98958,100,0,0,0,0,10003.98958,100,10003.98958,100,10003.98958,100,1574.998721,15.74370614,10003.98958,100,0,0,10003.98958,100,0.61,103.7,170,170,1,12
119124,E1183N4847,255,25,30,95,80,25,50,20,30,359,55,10003.99048,100,10003.99048,100,0,0,0,0,10003.99048,100,10003.99048,100,2318.235559,23.17310841,0,0,10003.99048,100,10003.99048,100,10003.99048,100,0,0,10003.99048,100,0,0,10003.99048,100,0.62,158.1,255,255,1,10
119125,E1184N4847,230,20,25,105,50,35,70,20,10,455,35,10003.99138,100,10003.99138,100,0,0,0,0,10003.99138,100,10003.99138,100,10003.99138,100,0,0,10003.99138,100,10003.99138,100,10003.99138,100,0,0,10003.99138,100,0,0,10003.99138,100,0.67,154.1,230,230,1,15
119126,E1185N4847,145,5,10,40,40,45,40,20,40,443,35,10003.99227,100,10003.99227,100,0,0,0,0,10003.99227,100,10003.99227,100,10003.99227,100,0,0,6733.388795,67.30701714,10003.99227,100,10003.99227,100,0,0,10003.99227,100,0,0,10003.99227,100,0.64,92.8,145,145,1,31
119127,E1186N4847,165,25,15,55,45,25,40,20,30,422,40,10003.99317,100,10003.99317,100,0,0,0,0,10003.99317,100,10003.99317,100,10003.99317,100,0,0,8.029651004,0.080264459,10003.99317,100,2557.971512,25.56950478,0,0,10003.99317,100,0,0,10003.99317,100,0.55,90.75,165,165,1,15
