fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"117054",E1221N4854,"364","0.87"
"117056",E1223N4854,"485","0.80"
"117057",E1224N4854,"416","0.80"
"117058",E1225N4854,"408","0.80"
"117059",E1226N4854,"312","0.83"
"117060",E1227N4854,"398","0.88"
"117061",E1228N4854,"473","0.93"
"117062",E1229N4854,"465","0.94"
"117063",E1230N4854,"401","1.00"
"117064",E1231N4854,"395","1.00"
"117065",E1232N4854,"330","1.00"
"117066",E1233N4854,"506","1.00"
"117067",E1234N4854,"518","1.00"
"117068",E1235N4854,"456","1.00"
"117069",E1236N4854,"446","0.96"
"117070",E1237N4854,"566","0.94"
"117071",E1238N4854,"760","0.94"
"117072",E1239N4854,"629","0.93"
"117073",E1240N4854,"578","0.93"
"117074",E1241N4854,"671","0.93"
"117075",E1242N4854,"654","0.93"
"117076",E1243N4854,"633","0.93"
"117077",E1244N4854,"732","0.93"
"117078",E1245N4854,"640","0.93"
"117079",E1249N4854,"173","0.70"
"117080",E1250N4854,"189","0.65"
"117081",E1251N4854,"232","0.59"
"117376",E1212N4853,"369","0.93"
"117377",E1213N4853,"382","0.93"
"117378",E1214N4853,"503","0.93"
"117379",E1215N4853,"611","0.93"
"117380",E1216N4853,"658","0.93"
"117381",E1217N4853,"593","0.93"
"117382",E1218N4853,"503","0.93"
"117383",E1219N4853,"447","0.89"
"117384",E1220N4853,"426","0.87"
"117385",E1221N4853,"442","0.87"
"117386",E1222N4853,"788","0.84"
"117387",E1223N4853,"375","0.80"
"117388",E1224N4853,"456","0.80"
"117389",E1225N4853,"437","0.80"
"117390",E1226N4853,"283","0.81"
"117391",E1227N4853,"417","0.83"
"117392",E1228N4853,"422","0.92"
"117393",E1229N4853,"362","0.95"
"117394",E1230N4853,"327","1.00"
"117395",E1231N4853,"347","1.00"
"117396",E1232N4853,"345","1.00"
"117397",E1233N4853,"447","1.00"
"117398",E1234N4853,"447","1.00"
"117399",E1235N4853,"424","1.00"
"117400",E1236N4853,"463","1.00"
"117401",E1237N4853,"477","0.97"
"117402",E1238N4853,"824","0.94"
"117403",E1239N4853,"876","0.95"
"117404",E1240N4853,"790","0.93"
"117405",E1241N4853,"748","0.93"
"117406",E1242N4853,"634","0.93"
"117407",E1243N4853,"638","0.93"
"117408",E1244N4853,"686","0.93"
"117409",E1245N4853,"637","0.93"
"117410",E1246N4853,"702","0.88"
"117411",E1247N4853,"643","0.83"
"117412",E1250N4853,"251","0.62"
"117413",E1251N4853,"212","0.54"
"117414",E1252N4853,"182","0.53"
"116736",E1215N4855,"440","0.93"
"116737",E1216N4855,"403","0.93"
"116738",E1217N4855,"418","0.93"
"116739",E1218N4855,"527","0.93"
"116740",E1219N4855,"542","0.93"
"116741",E1220N4855,"570","0.88"
"116742",E1221N4855,"678","0.88"
"116743",E1222N4855,"1055","0.87"
"116744",E1223N4855,"576","0.81"
"116745",E1224N4855,"498","0.80"
"116746",E1225N4855,"370","0.80"
"116747",E1226N4855,"431","0.85"
"116748",E1227N4855,"394","0.87"
"116749",E1228N4855,"384","0.93"
"116750",E1229N4855,"376","0.94"
"116751",E1230N4855,"415","1.00"
"116752",E1231N4855,"507","1.00"
"116753",E1232N4855,"420","1.00"
"116754",E1233N4855,"333","1.00"
"116755",E1234N4855,"427","1.00"
"116756",E1235N4855,"425","1.00"
"116757",E1236N4855,"355","0.95"
"116758",E1237N4855,"526","0.93"
"116759",E1238N4855,"527","0.93"
"116760",E1239N4855,"535","0.93"
"116761",E1240N4855,"1015","0.93"
"116762",E1241N4855,"735","0.93"
"116763",E1242N4855,"665","0.93"
"116764",E1243N4855,"681","0.93"
"116765",E1244N4855,"1019","0.93"
"116766",E1246N4855,"505","0.93"
"116767",E1247N4855,"640","0.87"
"116768",E1248N4855,"473","0.82"
"116769",E1249N4855,"244","0.73"
"116770",E1250N4855,"337","0.65"
"117696",E1216N4852,"689","0.93"
"117697",E1217N4852,"545","0.93"
