fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea
"122186",E1235N4835,"2","2"
"122185",E1232N4835,"2","2"
"122184",E1231N4835,"2","2"
"122183",E1230N4835,"2","2"
"122182",E1229N4835,"2","2"
"122181",E1226N4835,"2","2"
"122180",E1225N4835,"2","2"
"122179",E1223N4835,"2","2"
"121975",E1231N4836,"2","2"
"121974",E1230N4836,"15","15"
"121973",E1229N4836,"2","2"
"121972",E1228N4836,"10","10"
"121971",E1225N4836,"5","5"
"121970",E1224N4836,"2","2"
"121754",E1234N4837,"2","2"
"121753",E1233N4837,"2","2"
"121752",E1232N4837,"2","2"
"121751",E1231N4837,"2","2"
"121750",E1230N4837,"10","10"
"121749",E1226N4837,"2","2"
"121748",E1224N4837,"5","5"
"121747",E1223N4837,"2","2"
"121746",E1222N4837,"10","10"
"121745",E1221N4837,"15","15"
"122605",E1235N4833,"2","2"
"122606",E1236N4833,"2","2"
"122822",E1236N4832,"2","2"
"123042",E1233N4831,"2","2"
"123043",E1236N4831,"2","2"
"119697",E1232N4845,"40","40"
"119958",E1232N4844,"10","10"
"119698",E1233N4845,"5","5"
"119959",E1233N4844,"30","30"
"120216",E1233N4843,"2","2"
"119699",E1234N4845,"20","20"
"119960",E1234N4844,"20","20"
"120217",E1234N4843,"10","10"
"119700",E1238N4845,"5","5"
"119961",E1238N4844,"5","5"
"120218",E1238N4843,"2","2"
"119701",E1239N4845,"15","15"
"119962",E1239N4844,"10","10"
"120219",E1239N4843,"10","10"
"119702",E1240N4845,"10","10"
"119963",E1240N4844,"5","5"
"120220",E1240N4843,"20","20"
"120485",E1240N4842,"5","5"
"120747",E1240N4841,"2","2"
"119703",E1241N4845,"2","2"
"119964",E1241N4844,"60","60"
"120221",E1241N4843,"85","85"
"120486",E1241N4842,"20","20"
"120748",E1241N4841,"2","2"
"119704",E1242N4845,"40","40"
"119965",E1242N4844,"60","60"
"120222",E1242N4843,"20","20"
"120487",E1242N4842,"10","10"
"119705",E1243N4845,"15","15"
"119966",E1243N4844,"20","20"
"120223",E1243N4843,"10","10"
"119706",E1244N4845,"25","25"
"119967",E1244N4844,"10","10"
"120224",E1244N4843,"2","2"
"119707",E1245N4845,"5","5"
"121249",E1233N4839,"20","20"
"121250",E1234N4839,"25","25"
"121251",E1235N4839,"20","20"
"121252",E1236N4839,"15","15"
"121253",E1237N4839,"2","2"
"119968",E1246N4844,"75","75"
"119708",E1246N4845,"50","50"
"121512",E1232N4838,"10","10"
"121513",E1233N4838,"2","2"
"121514",E1234N4838,"10","10"
"121515",E1235N4838,"25","25"
"121516",E1236N4838,"2","2"
"121517",E1246N4838,"20","20"
"125221",E1244N4820,"15","15"
"123273",E1243N4830,"2","2"
"123044",E1244N4831,"2","2"
"123045",E1245N4831,"5","5"
"128576",E1245N4803,"2","2"
"129042",E1246N4801,"2","2"
"129285",E1246N4800,"2","2"
"128359",E1248N4804,"2","2"
"127942",E1251N4806,"15","15"
"127733",E1252N4807,"10","10"
"127943",E1252N4806,"10","10"
"128360",E1252N4804,"2","2"
"127521",E1253N4808,"15","15"
"127316",E1253N4809,"2","2"
